UX;;56,42;;49,86;;42,71;;26,56;;42,15;;;
Wirtschaftlichkeit;;12,97;;11,21;;9,73;;5,62;;10,96;;;
Stabilität;;23,29;;18,13;;18,64;;14,78;;17,19;;;
Sicherheit;;7,32;;6,95;;6,22;;1,83;;6,59;;;
Gesamt;;100;;86,15;;77,3;;48,79;;76,89;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;86,15;;77,3;;48,79;;76,89
